id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,manage_stock,stock_quantity,children,backorders,sold_individually,reviews_allowed,purchase_note,sale_price,regular_price,category_ids,tag_ids,shipping_class_id,raw_image_id,raw_gallery_image_ids,download_limit,download_expiry,parent_id,grouped_products,upsell_ids,cross_sell_ids,product_url,button_text,menu_order,virtual,downloadable,attribute_1_name,attribute_1_value,attribute_1_visible,attribute_1_global,attribute_2_name,attribute_2_value,attribute_2_visible,attribute_2_global,_wpcom_is_markdown,download1_name,download_1_url,download_2_name,download_2_url,email,user_pass,store_name,social,payment,phone,show_email,address,location,banner,icon,gravatar,show_more_tpab,show_ppp,enable_tnc,store_tnc,show_min_order_discount,store_seo,dokan_store_time,enabled,trusted,vendor
100,simple,dummy-vneck-tee,Dummy-Neck T-Shirt,publish,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vneck-tee-2.jpg,https://live.staticflickr.com/813/26579665807_f6a406ed5d_b.jpg,0,0,,,,,,,0,1,1,Color,"Blue,Green,Red",1,1,Size,"Large,Medium,Small",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,125
101,simple,dummy-hoodie,Dummy Hoodie,publish,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-2.jpg,https://live.staticflickr.com/4298/35890957240_486bfd38dc_b.jpg,0,0,,,,,,,0,,,Color,"Blue,Green,Red",1,1,Logo,"Yes,No",1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,125
102,simple,dummy-hoodie-with-logo,Dummy Hoodie with Logo,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,45,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-logo-2.jpg,,0,0,,,,,,,0,,,Color,Blue,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,125
103,simple,dummy-tshirt,Dummy T-Shirt,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,18,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/tshirt-2.jpg,,0,0,,,,,,,0,,,Color,Gray,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,125
104,simple,dummy-beanie,Dummy Beanie,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,18,20,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/beanie-2.jpg,,0,0,,,,,,,0,,,Color,Red,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,125
105,simple,dummy-belt,Dummy Belt,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,55,65,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/belt-2.jpg,,0,0,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,126
106,simple,dummy-cap,Dummy Cap,publish,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,16,18,"Clothing,T-Shirt",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/cap-2.jpg,,0,0,,,,,,,0,,,Color,Yellow,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,126
107,simple,dummy-sunglasses,Dummy Sunglasses,publish,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,90,"Clothing,Accessories",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/sunglasses-2.jpg,,0,0,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,126
108,simple,dummy-hoodie-with-pocket,Dummy Hoodie with Pocket,publish,1,hidden,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,35,45,"Clothing,Accessories",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-pocket-2.jpg,,0,0,,,,,,,0,,,Color,Gray,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,126
109,simple,dummy-hoodie-with-zipper,Dummy Hoodie with Zipper,publish,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,45,"Clothing,Accessories",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-zipper-2.jpg,,0,0,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,126
110,simple,dummy-long-sleeve-tee,Dummy Long Sleeve Tee,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,25,"Accessories,Hoodies",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/long-sleeve-tee-2.jpg,,0,0,,,,,,,0,,,Color,Green,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,127
111,simple,dummy-polo,Dummy Polo,publish,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,instock,,,,no,,1,,,20,"Accessories,Hoodies",Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/polo-2.jpg,,0,0,,,,,,,0,,,Color,Blue,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,127
112,simple,dummy-album,Dummy Album,publish,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,instock,,,,no,,1,,,15,"Clothing,Accessories",Dokan dummy data,0,https://live.staticflickr.com/13/17130986_f1c38c12bd_b.jpg,,1,1,,,,,,,0,,,,,,,,,,,1,Single 1,https://live.staticflickr.com/13/17130986_f1c38c12bd_b.jpg,Single 2,https://live.staticflickr.com/13/17130986_f1c38c12bd_b.jpg,,,,,,,,,,,,,,,,,,,,,,127
113,simple,dummy-single,Dummy Single,publish,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,instock,,,,no,,1,,2,3,"Clothing,Accessories",Dokan dummy data,0,https://live.staticflickr.com/13/17130986_f1c38c12bd_b.jpg,,1,1,,,,,,,0,,,,,,,,,,,1,Single,https://live.staticflickr.com/13/17130986_f1c38c12bd_b.jpg,,,,,,,,,,,,,,,,,,,,,,,,127
114,simple,dummy-vneck-tee-red,Dummy V-Neck T-Shirt - Red,publish,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,instock,,,,no,,0,,,20,,Dokan dummy data,0,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vneck-tee-2.jpg,,0,0,,,,,,,0,,,Color,Red,,1,Size,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,127
